epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,91.715,0.46287,0.79166,4.22061,0.89814,0,0.28343,0.07495,0.0727,0.06326,0.28697,0.07635,0.07604,0.06358,0.65101,1.09498,3.71574,1.15719,0,5.18102e-05,5.18102e-05,5.18102e-05
2,179,0.41555,0.45544,2.89088,0.90114,0,0.25046,0.17269,0.15999,0.13753,0.25088,0.17264,0.15972,0.1393,0.82125,1.13927,3.37824,1.39294,0,0.000102782,0.000102782,0.000102782
3,265.717,0.39448,0.42851,2.02762,0.89164,0,0.35709,0.2623,0.24836,0.20792,0.35549,0.2593,0.24593,0.21,0.74881,1.13857,2.89131,1.29882,0,0.000152725,0.000152725,0.000152725
4,351.558,0.36509,0.39315,1.5353,0.87632,0,0.44564,0.24362,0.26916,0.22636,0.4459,0.24374,0.26653,0.22688,0.87714,1.26353,3.00218,1.45755,0,0.000151367,0.000151367,0.000151367
5,437.552,0.34668,0.38754,1.26203,0.86319,0,0.49911,0.31642,0.34665,0.30184,0.49878,0.3155,0.34587,0.29004,0.66909,1.21894,2.56074,1.16011,0,0.000149822,0.000149822,0.000149822
6,523.219,0.33463,0.37448,1.1022,0.85734,0,0.51373,0.3044,0.34641,0.29773,0.52225,0.3008,0.34082,0.2928,0.77341,1.20169,2.5969,1.2709,0,0.000148278,0.000148278,0.000148278
7,609.195,0.31652,0.36788,1.00016,0.84396,0,0.56861,0.34395,0.37557,0.32542,0.56384,0.34168,0.37249,0.31547,0.70415,1.13209,2.35757,1.1875,0,0.000146734,0.000146734,0.000146734
8,694.862,0.30963,0.36157,0.91179,0.84343,0,0.55866,0.27398,0.31166,0.26677,0.55715,0.27125,0.30694,0.25974,0.79294,1.28225,2.75224,1.33674,0,0.000145189,0.000145189,0.000145189
9,780.323,0.30393,0.35115,0.82632,0.83991,0,0.60463,0.28501,0.33199,0.28487,0.60059,0.28321,0.32636,0.27583,0.87809,1.39672,2.79409,1.43629,0,0.000143645,0.000143645,0.000143645
10,865.878,0.30009,0.35158,0.77104,0.84051,0,0.60258,0.34653,0.36741,0.32041,0.60356,0.34697,0.36754,0.30958,0.63192,1.14373,2.29217,1.12042,0,0.0001421,0.0001421,0.0001421
11,951.3,0.29357,0.35081,0.70708,0.8342,0,0.60819,0.31729,0.35707,0.30792,0.60643,0.3165,0.3544,0.29336,0.70988,1.27417,2.55663,1.21503,0,0.000140556,0.000140556,0.000140556
12,1037.25,0.29083,0.33927,0.68218,0.84085,0,0.58823,0.29135,0.34298,0.29324,0.58277,0.28559,0.33576,0.27909,0.7644,1.44972,2.68936,1.30042,0,0.000139012,0.000139012,0.000139012
13,1122.77,0.28746,0.33893,0.66086,0.83493,0,0.60894,0.29156,0.33662,0.28756,0.60405,0.28832,0.33304,0.27425,0.83447,1.45541,2.82258,1.37077,0,0.000137467,0.000137467,0.000137467
14,1209.07,0.28471,0.33951,0.62131,0.83603,0,0.62705,0.31285,0.35905,0.30842,0.60406,0.30784,0.35328,0.29773,0.79513,1.31609,2.6027,1.33203,0,0.000135923,0.000135923,0.000135923
15,1294.76,0.28207,0.33245,0.59709,0.83627,0,0.57349,0.24748,0.29417,0.24987,0.56743,0.24256,0.28887,0.23746,1.03918,1.75068,3.12631,1.599,0,0.000134378,0.000134378,0.000134378
16,1380.49,0.27819,0.32697,0.56939,0.83207,0,0.55788,0.23907,0.27231,0.23229,0.5537,0.23379,0.26625,0.21816,0.99509,1.78546,3.17491,1.55125,0,0.000132834,0.000132834,0.000132834
17,1466.98,0.27332,0.32156,0.54308,0.83175,0,0.5871,0.29387,0.33997,0.28954,0.57963,0.28822,0.33304,0.2793,0.83827,1.38919,2.83691,1.37443,0,0.00013129,0.00013129,0.00013129
18,1553.81,0.27768,0.32486,0.52727,0.83253,0,0.58795,0.29379,0.33212,0.28292,0.58581,0.29168,0.32855,0.27408,0.86451,1.38943,2.76949,1.41507,0,0.000129745,0.000129745,0.000129745
19,1640.18,0.27157,0.32356,0.51142,0.83437,0,0.54176,0.2646,0.29417,0.25027,0.54028,0.26096,0.28808,0.23447,0.93186,1.69894,2.95974,1.4995,0,0.000128201,0.000128201,0.000128201
20,1726.01,0.26642,0.32056,0.49819,0.83069,0,0.56503,0.2668,0.30552,0.25783,0.55335,0.26223,0.298,0.24569,0.94257,1.60747,2.99515,1.49231,0,0.000126656,0.000126656,0.000126656
21,1812.03,0.27161,0.32484,0.49369,0.82942,0,0.58074,0.2766,0.32197,0.27248,0.57899,0.27434,0.31901,0.26509,0.96992,1.55901,2.91044,1.51576,0,0.000125112,0.000125112,0.000125112
22,1898.18,0.26639,0.31938,0.46852,0.82938,0,0.54291,0.27142,0.31422,0.26164,0.5366,0.26692,0.31028,0.25425,0.92038,1.55418,2.7904,1.44257,0,0.000123568,0.000123568,0.000123568
23,1983.9,0.26079,0.3195,0.4469,0.82731,0,0.55039,0.26179,0.2992,0.25115,0.54494,0.25588,0.2946,0.24116,0.95959,1.56233,2.91195,1.5006,0,0.000122023,0.000122023,0.000122023
24,2069.89,0.26606,0.31621,0.45094,0.82733,0,0.58839,0.28393,0.32981,0.27845,0.58283,0.27999,0.32611,0.26746,0.99678,1.58604,2.85306,1.54638,0,0.000120479,0.000120479,0.000120479
25,2155.93,0.25883,0.31506,0.42901,0.82556,0,0.61962,0.2923,0.33676,0.28448,0.61914,0.28972,0.33349,0.27247,0.91326,1.58008,2.73478,1.44889,0,0.000118934,0.000118934,0.000118934
26,2242.13,0.25787,0.31614,0.42027,0.82701,0,0.55158,0.24094,0.29055,0.24512,0.54422,0.23795,0.28619,0.23592,1.06408,1.83931,3.1914,1.64113,0,0.00011739,0.00011739,0.00011739
27,2327.87,0.2575,0.31103,0.41522,0.82769,0,0.57032,0.29376,0.33348,0.27644,0.56425,0.28675,0.3258,0.26181,0.96236,1.66983,2.84451,1.499,0,0.000115846,0.000115846,0.000115846
28,2414.29,0.25644,0.31113,0.39771,0.82621,0,0.52336,0.26794,0.30989,0.25999,0.5139,0.26234,0.30177,0.24427,0.94862,1.67465,3.04908,1.48269,0,0.000114301,0.000114301,0.000114301
